78039 silly lifecycle ansi-styles@1.0.0~preinstall: no script for preinstall, continuing
79881 silly build eventemitter3@1.2.0
79882 info linkStuff eventemitter3@1.2.0
79883 silly linkStuff eventemitter3@1.2.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79884 verbose linkBins eventemitter3@1.2.0
79885 verbose linkMans eventemitter3@1.2.0
79886 silly build exit@0.1.2
79887 info linkStuff exit@0.1.2
79888 silly linkStuff exit@0.1.2 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79889 verbose linkBins exit@0.1.2
79890 verbose linkMans exit@0.1.2
79891 silly build is-number@0.1.1
79892 info linkStuff is-number@0.1.1
79893 silly linkStuff is-number@0.1.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\expand-braces\node_modules as its parent node_modules
79894 verbose linkBins is-number@0.1.1
79895 verbose linkMans is-number@0.1.1
79896 silly build repeat-string@0.2.2
79897 info linkStuff repeat-string@0.2.2
79898 silly linkStuff repeat-string@0.2.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\expand-braces\node_modules as its parent node_modules
79899 verbose linkBins repeat-string@0.2.2
79900 verbose linkMans repeat-string@0.2.2
79901 silly build expand-range@0.1.1
79902 info linkStuff expand-range@0.1.1
79903 silly linkStuff expand-range@0.1.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\expand-braces\node_modules as its parent node_modules
79904 verbose linkBins expand-range@0.1.1
79905 verbose linkMans expand-range@0.1.1
79906 silly build braces@0.1.5
79907 info linkStuff braces@0.1.5
79908 silly linkStuff braces@0.1.5 has C:\Users\Ron\desktop\swiftsrv\node_modules\expand-braces\node_modules as its parent node_modules
79909 verbose linkBins braces@0.1.5
79910 verbose linkMans braces@0.1.5
79911 silly build expand-braces@0.1.2
79912 info linkStuff expand-braces@0.1.2
79913 silly linkStuff expand-braces@0.1.2 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79914 verbose linkBins expand-braces@0.1.2
79915 verbose linkMans expand-braces@0.1.2
79916 silly build extend@3.0.0
79917 info linkStuff extend@3.0.0
79918 silly linkStuff extend@3.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79919 verbose linkBins extend@3.0.0
79920 verbose linkMans extend@3.0.0
79921 silly build extsprintf@1.0.2
79922 info linkStuff extsprintf@1.0.2
79923 silly linkStuff extsprintf@1.0.2 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79924 verbose linkBins extsprintf@1.0.2
79925 verbose linkMans extsprintf@1.0.2
79926 silly build eyes@0.1.8
79927 info linkStuff eyes@0.1.8
79928 silly linkStuff eyes@0.1.8 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79929 verbose linkBins eyes@0.1.8
79930 verbose linkMans eyes@0.1.8
79931 silly build faye-websocket@0.4.4
79932 info linkStuff faye-websocket@0.4.4
79933 silly linkStuff faye-websocket@0.4.4 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79934 verbose linkBins faye-websocket@0.4.4
79935 verbose linkMans faye-websocket@0.4.4
79936 silly build filename-regex@2.0.0
79937 info linkStuff filename-regex@2.0.0
79938 silly linkStuff filename-regex@2.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79939 verbose linkBins filename-regex@2.0.0
79940 verbose linkMans filename-regex@2.0.0
79941 silly build lodash@2.4.2
79942 info linkStuff lodash@2.4.2
79943 silly linkStuff lodash@2.4.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\findup-sync\node_modules as its parent node_modules
79944 verbose linkBins lodash@2.4.2
79945 verbose linkMans lodash@2.4.2
79946 silly build for-in@0.1.5
79947 info linkStuff for-in@0.1.5
79948 silly linkStuff for-in@0.1.5 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79949 verbose linkBins for-in@0.1.5
79950 verbose linkMans for-in@0.1.5
79951 silly build for-own@0.1.4
79952 info linkStuff for-own@0.1.4
79953 silly linkStuff for-own@0.1.4 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79954 verbose linkBins for-own@0.1.4
79955 verbose linkMans for-own@0.1.4
79956 silly build foreach@2.0.5
79957 info linkStuff foreach@2.0.5
79958 silly linkStuff foreach@2.0.5 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79959 verbose linkBins foreach@2.0.5
79960 verbose linkMans foreach@2.0.5
79961 silly build forever-agent@0.6.1
79962 info linkStuff forever-agent@0.6.1
79963 silly linkStuff forever-agent@0.6.1 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79964 verbose linkBins forever-agent@0.6.1
79965 verbose linkMans forever-agent@0.6.1
79966 silly build formidable@1.0.17
79967 info linkStuff formidable@1.0.17
79968 silly linkStuff formidable@1.0.17 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79969 verbose linkBins formidable@1.0.17
79970 verbose linkMans formidable@1.0.17
79971 silly build qs@5.2.1
79972 info linkStuff qs@5.2.1
79973 silly linkStuff qs@5.2.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\forms\node_modules as its parent node_modules
79974 verbose linkBins qs@5.2.1
79975 verbose linkMans qs@5.2.1
79976 silly build forwarded@0.1.0
79977 info linkStuff forwarded@0.1.0
79978 silly linkStuff forwarded@0.1.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79979 verbose linkBins forwarded@0.1.0
79980 verbose linkMans forwarded@0.1.0
79981 silly build fresh@0.3.0
79982 info linkStuff fresh@0.3.0
79983 silly linkStuff fresh@0.3.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79984 verbose linkBins fresh@0.3.0
79985 verbose linkMans fresh@0.3.0
79986 silly build from@0.1.3
79987 info linkStuff from@0.1.3
79988 silly linkStuff from@0.1.3 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79989 verbose linkBins from@0.1.3
79990 verbose linkMans from@0.1.3
79991 silly build fs.realpath@1.0.0
79992 info linkStuff fs.realpath@1.0.0
79993 silly linkStuff fs.realpath@1.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79994 verbose linkBins fs.realpath@1.0.0
79995 verbose linkMans fs.realpath@1.0.0
79996 silly build function-bind@1.1.0
79997 info linkStuff function-bind@1.1.0
79998 silly linkStuff function-bind@1.1.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
79999 verbose linkBins function-bind@1.1.0
80000 verbose linkMans function-bind@1.1.0
80001 silly build generate-function@2.0.0
80002 info linkStuff generate-function@2.0.0
80003 silly linkStuff generate-function@2.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80004 verbose linkBins generate-function@2.0.0
80005 verbose linkMans generate-function@2.0.0
80006 silly build get-stdin@4.0.1
80007 info linkStuff get-stdin@4.0.1
80008 silly linkStuff get-stdin@4.0.1 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80009 verbose linkBins get-stdin@4.0.1
80010 verbose linkMans get-stdin@4.0.1
80011 silly build getobject@0.1.0
80012 info linkStuff getobject@0.1.0
80013 silly linkStuff getobject@0.1.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80014 verbose linkBins getobject@0.1.0
80015 verbose linkMans getobject@0.1.0
80016 silly build assert-plus@1.0.0
80017 info linkStuff assert-plus@1.0.0
80018 silly linkStuff assert-plus@1.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\getpass\node_modules as its parent node_modules
80019 verbose linkBins assert-plus@1.0.0
80020 verbose linkMans assert-plus@1.0.0
80021 silly build getpass@0.1.6
80022 info linkStuff getpass@0.1.6
80023 silly linkStuff getpass@0.1.6 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80024 verbose linkBins getpass@0.1.6
80025 verbose linkMans getpass@0.1.6
80026 silly build inherits@1.0.2
80027 info linkStuff inherits@1.0.2
80028 silly linkStuff inherits@1.0.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\glob\node_modules as its parent node_modules
80029 verbose linkBins inherits@1.0.2
80030 verbose linkMans inherits@1.0.2
80031 silly build lodash@1.0.2
80032 info linkStuff lodash@1.0.2
80033 silly linkStuff lodash@1.0.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\globule\node_modules as its parent node_modules
80034 verbose linkBins lodash@1.0.2
80035 verbose linkMans lodash@1.0.2
80036 silly build asn1@0.1.11
80037 info linkStuff asn1@0.1.11
80038 silly linkStuff asn1@0.1.11 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80039 verbose linkBins asn1@0.1.11
80040 verbose linkMans asn1@0.1.11
80041 silly build assert-plus@0.1.5
80042 info linkStuff assert-plus@0.1.5
80043 silly linkStuff assert-plus@0.1.5 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80044 verbose linkBins assert-plus@0.1.5
80045 verbose linkMans assert-plus@0.1.5
80046 silly build async@1.4.2
80047 info linkStuff async@1.4.2
80048 silly linkStuff async@1.4.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80049 verbose linkBins async@1.4.2
80050 verbose linkMans async@1.4.2
80051 silly build aws-sign2@0.5.0
80052 info linkStuff aws-sign2@0.5.0
80053 silly linkStuff aws-sign2@0.5.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80054 verbose linkBins aws-sign2@0.5.0
80055 verbose linkMans aws-sign2@0.5.0
80056 silly build http-signature@0.11.0
80057 info linkStuff http-signature@0.11.0
80058 silly linkStuff http-signature@0.11.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80059 verbose linkBins http-signature@0.11.0
80060 verbose linkMans http-signature@0.11.0
80061 silly build qs@4.0.0
80062 info linkStuff qs@4.0.0
80063 silly linkStuff qs@4.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80064 verbose linkBins qs@4.0.0
80065 verbose linkMans qs@4.0.0
80066 silly build qs@6.1.0
80067 info linkStuff qs@6.1.0
80068 silly linkStuff qs@6.1.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\googleapis\node_modules as its parent node_modules
80069 verbose linkBins qs@6.1.0
80070 verbose linkMans qs@6.1.0
80071 silly build string-template@1.0.0
80072 info linkStuff string-template@1.0.0
80073 silly linkStuff string-template@1.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\googleapis\node_modules as its parent node_modules
80074 verbose linkBins string-template@1.0.0
80075 verbose linkMans string-template@1.0.0
80076 silly build tough-cookie@2.2.2
80077 info linkStuff tough-cookie@2.2.2
80078 silly linkStuff tough-cookie@2.2.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\googleapis\node_modules as its parent node_modules
80079 verbose linkBins tough-cookie@2.2.2
80080 verbose linkMans tough-cookie@2.2.2
80081 silly build object-assign@3.0.0
80082 info linkStuff object-assign@3.0.0
80083 silly linkStuff object-assign@3.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\got\node_modules as its parent node_modules
80084 verbose linkBins object-assign@3.0.0
80085 verbose linkMans object-assign@3.0.0
80086 silly build graceful-fs@1.2.3
80087 info linkStuff graceful-fs@1.2.3
80088 silly linkStuff graceful-fs@1.2.3 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80089 verbose linkBins graceful-fs@1.2.3
80090 verbose linkMans graceful-fs@1.2.3
80091 silly build graceful-readlink@1.0.1
80092 info linkStuff graceful-readlink@1.0.1
80093 silly linkStuff graceful-readlink@1.0.1 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80094 verbose linkBins graceful-readlink@1.0.1
80095 verbose linkMans graceful-readlink@1.0.1
80096 silly build commander@2.9.0
80097 info linkStuff commander@2.9.0
80098 silly linkStuff commander@2.9.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\google-auth-library\node_modules as its parent node_modules
80099 verbose linkBins commander@2.9.0
80100 verbose linkMans commander@2.9.0
80101 silly build commander@2.8.1
80102 info linkStuff commander@2.8.1
80103 silly linkStuff commander@2.8.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\clean-css\node_modules as its parent node_modules
80104 verbose linkBins commander@2.8.1
80105 verbose linkMans commander@2.8.1
80106 silly build growl@1.9.2
80107 info linkStuff growl@1.9.2
80108 silly linkStuff growl@1.9.2 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80109 verbose linkBins growl@1.9.2
80110 verbose linkMans growl@1.9.2
80111 silly build minimatch@3.0.2
80112 info linkStuff minimatch@3.0.2
80113 silly linkStuff minimatch@3.0.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-clean\node_modules as its parent node_modules
80114 verbose linkBins minimatch@3.0.2
80115 verbose linkMans minimatch@3.0.2
80116 silly build ansi-styles@1.0.0
80117 info linkStuff ansi-styles@1.0.0
80118 silly linkStuff ansi-styles@1.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-cssmin\node_modules as its parent node_modules
80119 verbose linkBins ansi-styles@1.0.0
80120 verbose linkMans ansi-styles@1.0.0
80121 silly build commander@2.1.0
80122 info linkStuff commander@2.1.0
80123 silly linkStuff commander@2.1.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-cssmin\node_modules as its parent node_modules
80124 verbose linkBins commander@2.1.0
80125 verbose linkMans commander@2.1.0
80126 silly build clean-css@2.1.8
80127 info linkStuff clean-css@2.1.8
80128 silly linkStuff clean-css@2.1.8 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-cssmin\node_modules as its parent node_modules
80129 verbose linkBins clean-css@2.1.8
80130 verbose link bins [ { cleancss: './bin/cleancss' },
80130 verbose link bins   'C:\\Users\\Ron\\desktop\\swiftsrv\\node_modules\\grunt-contrib-cssmin\\node_modules\\.bin',
80130 verbose link bins   false ]
80131 verbose linkMans clean-css@2.1.8
80132 silly build strip-ansi@0.1.1
80133 info linkStuff strip-ansi@0.1.1
80134 silly linkStuff strip-ansi@0.1.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-cssmin\node_modules as its parent node_modules
80135 verbose linkBins strip-ansi@0.1.1
80136 verbose link bins [ { 'strip-ansi': 'cli.js' },
80136 verbose link bins   'C:\\Users\\Ron\\desktop\\swiftsrv\\node_modules\\grunt-contrib-cssmin\\node_modules\\.bin',
80136 verbose link bins   false ]
80137 verbose linkMans strip-ansi@0.1.1
80138 silly build ansi-styles@1.0.0
80139 info linkStuff ansi-styles@1.0.0
80140 silly linkStuff ansi-styles@1.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
80141 verbose linkBins ansi-styles@1.0.0
80142 verbose linkMans ansi-styles@1.0.0
80143 silly build strip-ansi@0.1.1
80144 info linkStuff strip-ansi@0.1.1
80145 silly linkStuff strip-ansi@0.1.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
80146 verbose linkBins strip-ansi@0.1.1
80147 verbose link bins [ { 'strip-ansi': 'cli.js' },
80147 verbose link bins   'C:\\Users\\Ron\\desktop\\swiftsrv\\node_modules\\grunt-contrib-uglify\\node_modules\\.bin',
80147 verbose link bins   false ]
80148 verbose linkMans strip-ansi@0.1.1
80149 silly build async@0.2.10
80150 info linkStuff async@0.2.10
80151 silly linkStuff async@0.2.10 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-watch\node_modules as its parent node_modules
80152 verbose linkBins async@0.2.10
80153 verbose linkMans async@0.2.10
80154 silly build lodash@2.4.2
80155 info linkStuff lodash@2.4.2
80156 silly linkStuff lodash@2.4.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-watch\node_modules as its parent node_modules
80157 verbose linkBins lodash@2.4.2
80158 verbose linkMans lodash@2.4.2
80159 silly build async@0.2.10
80160 info linkStuff async@0.2.10
80161 silly linkStuff async@0.2.10 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-init\node_modules as its parent node_modules
80162 verbose linkBins async@0.2.10
80163 verbose linkMans async@0.2.10
80164 silly build colors@0.6.2
80165 info linkStuff colors@0.6.2
80166 silly linkStuff colors@0.6.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-init\node_modules as its parent node_modules
80167 verbose linkBins colors@0.6.2
80168 verbose linkMans colors@0.6.2
80169 silly build lodash@2.4.2
80170 info linkStuff lodash@2.4.2
80171 silly linkStuff lodash@2.4.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-init\node_modules as its parent node_modules
80172 verbose linkBins lodash@2.4.2
80173 verbose linkMans lodash@2.4.2
80174 silly build lodash@3.10.1
80175 info linkStuff lodash@3.10.1
80176 silly linkStuff lodash@3.10.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-karma\node_modules as its parent node_modules
80177 verbose linkBins lodash@3.10.1
80178 verbose linkMans lodash@3.10.1
80179 silly build colors@0.6.2
80180 info linkStuff colors@0.6.2
80181 silly linkStuff colors@0.6.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-log-utils\node_modules as its parent node_modules
80182 verbose linkBins colors@0.6.2
80183 verbose linkMans colors@0.6.2
80184 silly build lodash@2.4.2
80185 info linkStuff lodash@2.4.2
80186 silly linkStuff lodash@2.4.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-log-utils\node_modules as its parent node_modules
80187 verbose linkBins lodash@2.4.2
80188 verbose linkMans lodash@2.4.2
80189 silly build underscore.string@2.3.3
80190 info linkStuff underscore.string@2.3.3
80191 silly linkStuff underscore.string@2.3.3 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-log-utils\node_modules as its parent node_modules
80192 verbose linkBins underscore.string@2.3.3
80193 verbose linkMans underscore.string@2.3.3
80194 silly build grunt-legacy-log-utils@0.1.1
80195 info linkStuff grunt-legacy-log-utils@0.1.1
80196 silly linkStuff grunt-legacy-log-utils@0.1.1 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80197 verbose linkBins grunt-legacy-log-utils@0.1.1
80198 verbose linkMans grunt-legacy-log-utils@0.1.1
80199 silly build colors@0.6.2
80200 info linkStuff colors@0.6.2
80201 silly linkStuff colors@0.6.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-log\node_modules as its parent node_modules
80202 verbose linkBins colors@0.6.2
80203 verbose linkMans colors@0.6.2
80204 silly build lodash@2.4.2
80205 info linkStuff lodash@2.4.2
80206 silly linkStuff lodash@2.4.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-log\node_modules as its parent node_modules
80207 verbose linkBins lodash@2.4.2
80208 verbose linkMans lodash@2.4.2
80209 silly build underscore.string@2.3.3
80210 info linkStuff underscore.string@2.3.3
80211 silly linkStuff underscore.string@2.3.3 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-log\node_modules as its parent node_modules
80212 verbose linkBins underscore.string@2.3.3
80213 verbose linkMans underscore.string@2.3.3
80214 silly build async@0.1.22
80215 info linkStuff async@0.1.22
80216 silly linkStuff async@0.1.22 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-util\node_modules as its parent node_modules
80217 verbose linkBins async@0.1.22
80218 verbose linkMans async@0.1.22
80219 silly build lodash@0.9.2
80220 info linkStuff lodash@0.9.2
80221 silly linkStuff lodash@0.9.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-util\node_modules as its parent node_modules
80222 verbose linkBins lodash@0.9.2
80223 verbose linkMans lodash@0.9.2
80224 silly build underscore.string@2.2.1
80225 info linkStuff underscore.string@2.2.1
80226 silly linkStuff underscore.string@2.2.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-legacy-util\node_modules as its parent node_modules
80227 verbose linkBins underscore.string@2.2.1
80228 verbose linkMans underscore.string@2.2.1
80229 silly build minimatch@3.0.2
80230 info linkStuff minimatch@3.0.2
80231 silly linkStuff minimatch@3.0.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-lib-phantomjs\node_modules as its parent node_modules
80232 verbose linkBins minimatch@3.0.2
80233 verbose linkMans minimatch@3.0.2
80234 silly build semver@5.3.0
80235 info linkStuff semver@5.3.0
80236 silly linkStuff semver@5.3.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-lib-phantomjs\node_modules as its parent node_modules
80237 verbose linkBins semver@5.3.0
80238 verbose link bins [ { semver: './bin/semver' },
80238 verbose link bins   'C:\\Users\\Ron\\desktop\\swiftsrv\\node_modules\\grunt-lib-phantomjs\\node_modules\\.bin',
80238 verbose link bins   false ]
80239 verbose linkMans semver@5.3.0
80240 silly build lodash@3.10.1
80241 info linkStuff lodash@3.10.1
80242 silly linkStuff lodash@3.10.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-mocha\node_modules as its parent node_modules
80243 verbose linkBins lodash@3.10.1
80244 verbose linkMans lodash@3.10.1
80245 silly build ansi-styles@0.2.0
80246 info linkStuff ansi-styles@0.2.0
80247 silly linkStuff ansi-styles@0.2.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-shell\node_modules as its parent node_modules
80248 verbose linkBins ansi-styles@0.2.0
80249 verbose linkMans ansi-styles@0.2.0
80250 silly build underscore.string@2.4.0
80251 info linkStuff underscore.string@2.4.0
80252 silly linkStuff underscore.string@2.4.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules\argparse\node_modules as its parent node_modules
80253 verbose linkBins underscore.string@2.4.0
80254 verbose linkMans underscore.string@2.4.0
80255 silly build async@0.1.22
80256 info linkStuff async@0.1.22
80257 silly linkStuff async@0.1.22 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80258 verbose linkBins async@0.1.22
80259 verbose linkMans async@0.1.22
80260 silly build colors@0.6.2
80261 info linkStuff colors@0.6.2
80262 silly linkStuff colors@0.6.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80263 verbose linkBins colors@0.6.2
80264 verbose linkMans colors@0.6.2
80265 silly build esprima@1.0.4
80266 info linkStuff esprima@1.0.4
80267 silly linkStuff esprima@1.0.4 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80268 verbose linkBins esprima@1.0.4
80269 verbose link bins [ { esparse: './bin/esparse.js',
80269 verbose link bins     esvalidate: './bin/esvalidate.js' },
80269 verbose link bins   'C:\\Users\\Ron\\desktop\\swiftsrv\\node_modules\\grunt\\node_modules\\.bin',
80269 verbose link bins   false ]
80270 verbose linkMans esprima@1.0.4
80271 silly build iconv-lite@0.2.11
80272 info linkStuff iconv-lite@0.2.11
80273 silly linkStuff iconv-lite@0.2.11 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80274 verbose linkBins iconv-lite@0.2.11
80275 verbose linkMans iconv-lite@0.2.11
80276 silly build lodash@0.9.2
80277 info linkStuff lodash@0.9.2
80278 silly linkStuff lodash@0.9.2 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80279 verbose linkBins lodash@0.9.2
80280 verbose linkMans lodash@0.9.2
80281 silly build underscore@1.7.0
80282 info linkStuff underscore@1.7.0
80283 silly linkStuff underscore@1.7.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80284 verbose linkBins underscore@1.7.0
80285 verbose linkMans underscore@1.7.0
80286 silly build argparse@0.1.16
80287 info linkStuff argparse@0.1.16
80288 silly linkStuff argparse@0.1.16 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80289 verbose linkBins argparse@0.1.16
80290 verbose linkMans argparse@0.1.16
80291 silly build js-yaml@2.0.5
80292 info linkStuff js-yaml@2.0.5
80293 silly linkStuff js-yaml@2.0.5 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80294 verbose linkBins js-yaml@2.0.5
80295 verbose link bins [ { 'js-yaml': 'bin/js-yaml.js' },
80295 verbose link bins   'C:\\Users\\Ron\\desktop\\swiftsrv\\node_modules\\grunt\\node_modules\\.bin',
80295 verbose link bins   false ]
80296 verbose linkMans js-yaml@2.0.5
80297 silly build underscore.string@2.2.1
80298 info linkStuff underscore.string@2.2.1
80299 silly linkStuff underscore.string@2.2.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt\node_modules as its parent node_modules
80300 verbose linkBins underscore.string@2.2.1
80301 verbose linkMans underscore.string@2.2.1
80302 silly build commander@2.9.0
80303 info linkStuff commander@2.9.0
80304 silly linkStuff commander@2.9.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\har-validator\node_modules as its parent node_modules
80305 verbose linkBins commander@2.9.0
80306 verbose linkMans commander@2.9.0
80307 silly build has-ansi@2.0.0
80308 info linkStuff has-ansi@2.0.0
80309 silly linkStuff has-ansi@2.0.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80310 verbose linkBins has-ansi@2.0.0
80311 verbose linkMans has-ansi@2.0.0
80312 silly build isarray@0.0.1
80313 info linkStuff isarray@0.0.1
80314 silly linkStuff isarray@0.0.1 has C:\Users\Ron\desktop\swiftsrv\node_modules\has-binary\node_modules as its parent node_modules
80315 verbose linkBins isarray@0.0.1
80316 verbose linkMans isarray@0.0.1
80317 silly build has-binary@0.1.7
80318 info linkStuff has-binary@0.1.7
80319 silly linkStuff has-binary@0.1.7 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80320 verbose linkBins has-binary@0.1.7
80321 verbose linkMans has-binary@0.1.7
80322 silly build has-color@0.1.7
80323 info linkStuff has-color@0.1.7
80324 silly linkStuff has-color@0.1.7 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80325 verbose linkBins has-color@0.1.7
80326 verbose linkMans has-color@0.1.7
80327 silly build chalk@0.3.0
80328 info linkStuff chalk@0.3.0
80329 silly linkStuff chalk@0.3.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-shell\node_modules as its parent node_modules
80330 verbose linkBins chalk@0.3.0
80331 verbose linkMans chalk@0.3.0
80332 silly build chalk@0.4.0
80333 info linkStuff chalk@0.4.0
80334 silly linkStuff chalk@0.4.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
80335 verbose linkBins chalk@0.4.0
80336 verbose linkMans chalk@0.4.0
80337 silly build chalk@0.4.0
80338 info linkStuff chalk@0.4.0
80339 silly linkStuff chalk@0.4.0 has C:\Users\Ron\desktop\swiftsrv\node_modules\grunt-contrib-cssmin\node_modules as its parent node_modules
80340 verbose linkBins chalk@0.4.0
80341 verbose linkMans chalk@0.4.0
80342 silly build has-cors@1.1.0
80343 info linkStuff has-cors@1.1.0
80344 silly linkStuff has-cors@1.1.0 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80345 verbose linkBins has-cors@1.1.0
80346 verbose linkMans has-cors@1.1.0
80347 silly build hoek@2.16.3
80348 info linkStuff hoek@2.16.3
80349 silly linkStuff hoek@2.16.3 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
80350 verbose linkBins hoek@2.16.3
80351 verbose linkMans hoek@2.16.3
80352 silly build boom@2.10.1
80353 info linkStuff boom@2.10.1
80354 silly linkStuff boom@2.10.1 has C:\Users\Ron\desktop\swiftsrv\node_modules as its parent node_modules
